模型,准确率,精确率,召回率,F1分数,测试集AUC,交叉验证AUC,TP,FP,FN,TN
决策树,0.7397216951296648,0.09078212290502793,0.2742616033755274,0.13641133263378805,0.5533910346568574,0.8206186640880787,65,651,172,2274
K近邻,0.5869702719797596,0.09781790820165538,0.5485232067510548,0.16602809706257982,0.5941260052652457,0.9667265565208446,130,1199,107,1726
神经网络,0.8437697659709045,0.11178247734138973,0.15611814345991562,0.13028169014084506,0.5663384903891233,0.9625828795077578,37,294,200,2631
随机森林,0.8829854522454142,0.15897435897435896,0.1308016877637131,0.14351851851851852,0.5906141584622597,0.9807268939260474,31,164,206,2761
BalancedBagging,0.7485768500948766,0.10142857142857142,0.29957805907172996,0.15154749199573106,0.6004111219301091,0.6538223090110604,71,629,166,2296
XGBoost,0.8757115749525617,0.14220183486238533,0.1308016877637131,0.13626373626373625,0.5775022539579502,0.9852593392413429,31,187,206,2738
Voting集成,0.8086654016445288,0.12448979591836734,0.25738396624472576,0.16781292984869325,0.5877413538173032,0.5877413538173032,61,429,176,2496
